Job_Title,Company,Location,Level,Type,Function,Industry,city,state,primary_industry,job_category,level_clean,employment_type_clean,is_remote,is_metro,is_entry,is_internship
Customer Delight ( Multiple Roles ),Blinkit,"Gurugram, Haryana, India",Mid-Senior level,"Customer Service, Quality Assurance, and Information Technology",Full-time,"Food and Beverage Services, Consumer Services, and Retail",Gurugram,Haryana,Food and Beverage Services,Other,Mid-Senior,"Customer Service, Quality Assurance, and Information Technology",0,1,0,0
Office Assistant,Aditya Birla Capital,"Kolkata, West Bengal, India",Entry level,Administrative,Full-time,Financial Services,Kolkata,West Bengal,Financial Services,Other,Entry,Administrative,0,0,1,0
Junior Data Analyst,Super Scholar,"Delhi, India",Associate,Information Technology,Full-time,Education Administration Programs,Delhi,India,Education Administration Programs,Data Analyst,Associate,Information Technology,0,1,0,0
Business Analyst & Strategic Projects,Aditya Birla Chemicals,"Worli, Maharashtra, India",Mid-Senior level,"General Business, Management, and Project Management",Full-time,"Chemical Raw Materials Manufacturing, Chemical Manufacturing, and Wholesale Chemical and Allied Products",Worli,Maharashtra,Chemical Raw Materials Manufacturing,Business Analyst,Mid-Senior,"General Business, Management, and Project Management",0,0,0,0
Data Analyst,JioSaavn,Mumbai Metropolitan Region,Associate,Analyst,Full-time,"Broadcast Media Production and Distribution, Technology, Information and Media, and Entertainment Providers",Mumbai,Unknown,Broadcast Media Production and Distribution,Data Analyst,Associate,Analyst,0,1,0,0
Senior Data Analyst,Nykaa,"Bengaluru, Karnataka, India",Associate,Analyst,Full-time,Retail Apparel and Fashion,Bengaluru,Karnataka,Retail Apparel and Fashion,Data Analyst,Associate,Analyst,0,1,0,0
Data entry,Naukripay,"Lucknow, Uttar Pradesh, India",Entry level,Administrative,Full-time,Human Resources Services,Lucknow,Uttar Pradesh,Human Resources Services,Data Entry,Entry,Administrative,0,0,1,0
Data Entry Executive,GoComet,"Mumbai, Maharashtra, India",Executive,Business Development and Sales,Full-time,"Transportation, Logistics, Supply Chain and Storage",Mumbai,Maharashtra,Transportation,Data Entry,Executive,Business Development and Sales,0,1,0,0
Data Entry Specialist | Remote,Nao Medical,Greater Delhi Area,Entry level,Administrative,Full-time,Hospitals and Health Care,Delhi,Unknown,Hospitals and Health Care,Data Entry,Entry,Administrative,0,1,1,0
2,PT Adaro Energy Indonesia Tbk,"Anupgarh, Rajasthan, India",Not Applicable,Other,Full-time,Mining,Anupgarh,Rajasthan,Mining,Other,Not Specified,Other,0,0,0,0
